,Depth,Resistivity,Gamma Ray,Total Porosity,Effective Porosity,Bulk Density,Compression Wave Travel Time,Shear Wave Travel Time
1584,7597.0,135.78899,34.88421,0.05483,0.04651,2.6001,57.67714,89.47475
1585,7597.5,128.06625,32.8664,0.05478,0.04816,2.58848,57.89532,89.31747
1586,7598.0,94.9137,34.15164,0.04992,0.04434,2.59059,58.19212,89.16341
1587,7598.5,104.04048,36.18667,0.04728,0.04256,2.60345,57.95579,89.12727
1588,7599.0,100.28711,37.16031,0.0496,0.04552,2.60629,57.12557,89.00414
1589,7599.5,107.15253,37.51717,0.05449,0.05135,2.59204,56.63845,89.01031
1590,7600.0,96.3865,40.06276,0.05786,0.056,2.5778,57.37218,89.55194
1591,7600.5,54.84215,45.34226,0.0605,0.06001,2.57448,58.99448,90.39169
1592,7601.0,52.15838,51.5093,0.0623,0.06223,2.57372,60.40955,91.14011
1593,7601.5,50.32426,54.0978,0.06298,0.06251,2.57669,60.77557,91.53246
1594,7602.0,57.18751,51.67731,0.06296,0.06103,2.57369,60.42492,91.99887
1595,7602.5,65.75655,47.1125,0.06202,0.05803,2.56307,60.03134,92.74762
1596,7603.0,73.5862,42.49693,0.06022,0.05518,2.5537,59.80212,93.34508
1597,7603.5,71.65405,38.8347,0.05914,0.05484,2.55352,59.63061,93.29881
1598,7604.0,73.59076,35.61639,0.05687,0.05482,2.55873,59.27941,92.55817
1599,7604.5,71.7638,33.06439,0.05341,0.0529,2.56737,58.68083,91.58084
1600,7605.0,62.29067,32.0374,0.05098,0.05064,2.57627,57.75338,90.4437
1601,7605.5,88.11766,33.14587,0.05,0.04878,2.58333,56.73735,89.70045
1602,7606.0,107.17313,36.85407,0.05061,0.04693,2.58601,56.16003,89.61912
1603,7606.5,82.36048,40.66409,0.04762,0.04056,2.59704,56.32838,90.0052
1604,7607.0,83.18838,42.41086,0.04623,0.03716,2.60983,56.97413,90.41281
1605,7607.5,123.56183,40.11814,0.04687,0.03685,2.61039,57.37012,90.43608
